Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.4958841600735659,-11.017451223360766
75% Corpus,2,0.01,0.31,0.5608150355906715,-11.017451245552573
75% Corpus,2,0.01,0.61,0.5608150355906715,-11.0174513209651
75% Corpus,2,0.01,0.9099999999999999,0.5575618503797477,-11.017451309527942
75% Corpus,2,0.01,symmetric,0.5608150355906715,-11.01745129203081
75% Corpus,2,0.31,0.01,0.5080066801958746,-11.017451288061052
75% Corpus,2,0.31,0.31,0.5497856867312036,-11.017451209823058
75% Corpus,2,0.31,0.61,0.5614272651911184,-11.017451312226335
75% Corpus,2,0.31,0.9099999999999999,0.5628927221331703,-11.017451245859723
75% Corpus,2,0.31,symmetric,0.5614272651911184,-11.017451317831187
75% Corpus,2,0.61,0.01,0.565152892275647,-11.017451312870367
75% Corpus,2,0.61,0.31,0.5557267600151938,-11.017451295142935
75% Corpus,2,0.61,0.61,0.5138644624203567,-11.017451308495726
75% Corpus,2,0.61,0.9099999999999999,0.4792413973945607,-11.017451281155214
75% Corpus,2,0.61,symmetric,0.5291349192552535,-11.017451230078398
75% Corpus,2,0.9099999999999999,0.01,0.5427913501399675,-11.01745128858778
75% Corpus,2,0.9099999999999999,0.31,0.459608630700582,-11.017451296013828
75% Corpus,2,0.9099999999999999,0.61,0.5261308058680684,-11.017451303556188
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4888911640348508,-11.01745132865192
75% Corpus,2,0.9099999999999999,symmetric,0.502944437762769,-11.017451255207252
75% Corpus,2,symmetric,0.01,0.5312743979224235,-11.0174513188484
75% Corpus,2,symmetric,0.31,0.532921082488834,-11.017451304575436
75% Corpus,2,symmetric,0.61,0.5231602805276923,-11.017451284208155
75% Corpus,2,symmetric,0.9099999999999999,0.5185966887335984,-11.01745126137077
75% Corpus,2,symmetric,symmetric,0.5492708157740902,-11.017451288851143
75% Corpus,2,asymmetric,0.01,0.4943109800624278,-11.01745130761739
75% Corpus,2,asymmetric,0.31,0.49114832891481486,-11.017451204536636
75% Corpus,2,asymmetric,0.61,0.4904805888119341,-11.01745127280471
75% Corpus,2,asymmetric,0.9099999999999999,0.5377202802124403,-11.017451337225612
75% Corpus,2,asymmetric,symmetric,0.5063504323978475,-11.017451242398367
75% Corpus,3,0.01,0.01,0.573519657797906,-11.017451259510839
75% Corpus,3,0.01,0.31,0.5692931548022179,-11.017451321954544
75% Corpus,3,0.01,0.61,0.5498052989914614,-11.017451349645567
75% Corpus,3,0.01,0.9099999999999999,0.5502283632552325,-11.017451312119393
75% Corpus,3,0.01,symmetric,0.5692931548022179,-11.017451252492561
75% Corpus,3,0.31,0.01,0.5263185526625976,-11.017451282699664
75% Corpus,3,0.31,0.31,0.5434052226247933,-11.017451323533384
75% Corpus,3,0.31,0.61,0.5552536219428557,-11.017451301027092
75% Corpus,3,0.31,0.9099999999999999,0.5630197857900443,-11.01745124971258
75% Corpus,3,0.31,symmetric,0.5434052226247935,-11.017451299102794
75% Corpus,3,0.61,0.01,0.5175896264523663,-11.017451249118508
75% Corpus,3,0.61,0.31,0.503543693722266,-11.017451260281305
75% Corpus,3,0.61,0.61,0.481098007349446,-11.017451275630755
75% Corpus,3,0.61,0.9099999999999999,0.4742363653697486,-11.017451282891269
75% Corpus,3,0.61,symmetric,0.48818329402905936,-11.017451383688112
75% Corpus,3,0.9099999999999999,0.01,0.5134840096671414,-11.01745127324253
75% Corpus,3,0.9099999999999999,0.31,0.5598856803836597,-11.017451267363123
75% Corpus,3,0.9099999999999999,0.61,0.5002497198167278,-11.017451248873131
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5147132061851895,-11.017451311459393
75% Corpus,3,0.9099999999999999,symmetric,0.5394699403211044,-11.017451320914368
75% Corpus,3,symmetric,0.01,0.5010157897841728,-11.017451311105097
75% Corpus,3,symmetric,0.31,0.5417342709200601,-11.017451302907576
75% Corpus,3,symmetric,0.61,0.5466212893690369,-11.01745133793408
75% Corpus,3,symmetric,0.9099999999999999,0.5630197857900443,-11.01745141458646
75% Corpus,3,symmetric,symmetric,0.5393890665552059,-11.017451272833213
75% Corpus,3,asymmetric,0.01,0.42607214683739275,-11.01745134047752
75% Corpus,3,asymmetric,0.31,0.39887267565377993,-11.017451320880957
75% Corpus,3,asymmetric,0.61,0.49856692505018235,-11.017451294704799
75% Corpus,3,asymmetric,0.9099999999999999,0.4952437994747135,-11.017451369363759
75% Corpus,3,asymmetric,symmetric,0.4255802971544386,-11.01745129191804
75% Corpus,4,0.01,0.01,0.4895862439822386,-11.017451376696616
75% Corpus,4,0.01,0.31,0.5338638447165995,-11.017451251490353
75% Corpus,4,0.01,0.61,0.5255175246029994,-11.017451299518072
75% Corpus,4,0.01,0.9099999999999999,0.5323976845649931,-11.01745132605694
75% Corpus,4,0.01,symmetric,0.5223453879747397,-11.017451247278819
75% Corpus,4,0.31,0.01,0.450161539780861,-11.017451319094986
75% Corpus,4,0.31,0.31,0.47550633616867377,-11.017451267178355
75% Corpus,4,0.31,0.61,0.507932438679336,-11.017451295111394
75% Corpus,4,0.31,0.9099999999999999,0.49499871956603414,-11.017451320274054
75% Corpus,4,0.31,symmetric,0.47550633616867377,-11.017451268475154
75% Corpus,4,0.61,0.01,0.5037083885507008,-11.017451350125555
75% Corpus,4,0.61,0.31,0.42168710982483937,-11.017451259147656
75% Corpus,4,0.61,0.61,0.47903351055721066,-11.017451296229948
75% Corpus,4,0.61,0.9099999999999999,0.44499051832305475,-11.017451293939343
75% Corpus,4,0.61,symmetric,0.4024851240186553,-11.017451285413486
75% Corpus,4,0.9099999999999999,0.01,0.5376161017581689,-11.017451271343779
75% Corpus,4,0.9099999999999999,0.31,0.48611685040243047,-11.017451365209698
75% Corpus,4,0.9099999999999999,0.61,0.5202313573496358,-11.017451243311694
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5085592252501753,-11.017451330797112
75% Corpus,4,0.9099999999999999,symmetric,0.45081724339719076,-11.01745130927962
75% Corpus,4,symmetric,0.01,0.4417522735787294,-11.01745127109182
75% Corpus,4,symmetric,0.31,0.498935145908844,-11.017451292150712
75% Corpus,4,symmetric,0.61,0.5040760758106999,-11.01745125237439
75% Corpus,4,symmetric,0.9099999999999999,0.5006479365070088,-11.017451292427484
75% Corpus,4,symmetric,symmetric,0.5020544730449789,-11.017451304584016
75% Corpus,4,asymmetric,0.01,0.4549014876283395,-11.017451320482895
75% Corpus,4,asymmetric,0.31,0.41700779679105276,-11.017451273265516
75% Corpus,4,asymmetric,0.61,0.4417241983660379,-11.017451348102572
75% Corpus,4,asymmetric,0.9099999999999999,0.4534870775293838,-11.017451301658532
75% Corpus,4,asymmetric,symmetric,0.44886043141793064,-11.017451267592826
75% Corpus,5,0.01,0.01,0.46314005485936016,-11.017451326775587
75% Corpus,5,0.01,0.31,0.5232261434130537,-11.017451274961783
75% Corpus,5,0.01,0.61,0.546069937365605,-11.017451310650562
75% Corpus,5,0.01,0.9099999999999999,0.4927704111436314,-11.017451292166388
75% Corpus,5,0.01,symmetric,0.5275332086335615,-11.017451341904506
75% Corpus,5,0.31,0.01,0.4942680133315851,-11.017451334686495
75% Corpus,5,0.31,0.31,0.48569713949839244,-11.01745131571274
75% Corpus,5,0.31,0.61,0.5003865549486116,-11.017451326376394
75% Corpus,5,0.31,0.9099999999999999,0.4917456971175812,-11.017451241624828
75% Corpus,5,0.31,symmetric,0.47698713753254635,-11.017451272228834
75% Corpus,5,0.61,0.01,0.4996268514153612,-11.017451335821493
75% Corpus,5,0.61,0.31,0.45993630630058746,-11.017451314402361
75% Corpus,5,0.61,0.61,0.49222471702624065,-11.017451347329231
75% Corpus,5,0.61,0.9099999999999999,0.510474374015941,-11.01745130065115
75% Corpus,5,0.61,symmetric,0.431497198631898,-11.017451283662984
75% Corpus,5,0.9099999999999999,0.01,0.5207095758195839,-11.017451304137307
75% Corpus,5,0.9099999999999999,0.31,0.4652282433481675,-11.017451286202217
75% Corpus,5,0.9099999999999999,0.61,0.5080331125982083,-11.017451249878663
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5085592252501753,-11.017451339341903
75% Corpus,5,0.9099999999999999,symmetric,0.44156163497491735,-11.01745128923729
75% Corpus,5,symmetric,0.01,0.4434279568763504,-11.017451313089785
75% Corpus,5,symmetric,0.31,0.49958146359962585,-11.017451260286757
75% Corpus,5,symmetric,0.61,0.501555970633251,-11.017451295833625
75% Corpus,5,symmetric,0.9099999999999999,0.5018221735931047,-11.017451258059761
75% Corpus,5,symmetric,symmetric,0.48873649765708205,-11.017451313117935
75% Corpus,5,asymmetric,0.01,0.4430668413829215,-11.017451264414476
75% Corpus,5,asymmetric,0.31,0.47116882690110373,-11.017451288949358
75% Corpus,5,asymmetric,0.61,0.577420209328088,-11.017451365638578
75% Corpus,5,asymmetric,0.9099999999999999,0.5660031264460953,-11.017451311278245
75% Corpus,5,asymmetric,symmetric,0.445594352202621,-11.017451338085465
75% Corpus,6,0.01,0.01,0.43733474701083036,-11.017451220889575
75% Corpus,6,0.01,0.31,0.446095485356462,-11.017451348984734
75% Corpus,6,0.01,0.61,0.44561911943566207,-11.017451257511828
75% Corpus,6,0.01,0.9099999999999999,0.42645556081425934,-11.01745128122892
75% Corpus,6,0.01,symmetric,0.4335727163337286,-11.017451314104392
75% Corpus,6,0.31,0.01,0.44564508998425323,-11.017451291516233
75% Corpus,6,0.31,0.31,0.46175270960472375,-11.0174512923685
