Date;MoneySupply
2017-01-01;1018079015923374.4
2017-02-01;981211309971988.6
2017-03-01;985334447747848.5
2017-04-01;1023286734351924.6
2017-05-01;1023610777142543.4
2017-06-01;1088244296843641.2
2017-07-01;1069352915415187.5
2017-08-01;1061695355474515.9
2017-09-01;1063445830842669.0
2017-10-01;1076287784261986.6
2017-11-01;1099031444566765.5
2017-12-01;1106363329039758.5
2018-01-01;1140869942116370.2
2018-02-01;1136354996987254.5
2018-03-01;1141282374731608.2
2018-04-01;1143371110115704.5
2018-05-01;1183649069545311.5
2018-06-01;1243397276206884.0
2018-07-01;1203711073014614.5
2018-08-01;1180402666242004.2
2018-09-01;1187883286761684.8
2018-10-01;1183489410752850.2
2018-11-01;1207267127004209.0
2018-12-02;1243715580680712.5
2019-01-01;1320881313455269.8
2019-02-01;1284984419601184.0
2019-03-01;1308958259224853.2
2019-04-01;1337598782783040.5
2019-05-01;1305363691398191.5
2019-06-01;1409580571034758.0
2019-07-01;1353354084534442.0
2019-08-01;1334694338944659.5
2019-09-01;1287560416304061.5
2019-10-01;1227722919086746.2
2019-11-01;1225323660436970.8
2019-12-01;1229797171716703.5
2020-01-01;1269915254020090.0
2020-02-01;1273831013992697.2
2020-03-01;1264903838429059.0
2020-04-01;1292248323025248.8
2020-05-01;1336926813621229.5
2020-06-01;1340719486761111.8
2020-07-01;1347532706161685.5
2020-08-01;1325263901208568.8
2020-09-01;1342648569211487.8
2020-10-01;1344262226405057.0
2020-11-01;1364097506757446.5
2020-12-01;1369498789447323.5
2021-01-01;1336315299433572.8
2021-02-01;1336404570934945.2
2021-03-01;1330710762196543.0
2021-04-01;1336949405149744.2
2021-05-01;1316354091792804.0
2021-06-01;1338470812044348.5
2021-07-01;1298468119628611.2
2021-08-01;1334591742395599.2
2021-09-01;1406110734164489.0
2021-10-01;1404717501942903.8
2021-11-01;1391548435576400.8
2021-12-01;1420557836056984.8
2022-01-01;1444716568814006.8
2022-02-01;1460022518978685.8
2022-03-01;1439417957327154.5
2022-04-01;1418169565452285.8
2022-05-01;1457920005055620.2
2022-06-01;1479320041894593.0
2022-07-01;1471667776601512.5
2022-08-01;1500552398546294.2
2022-09-01;1499769525839181.5
2022-10-01;1525662345633679.8
2022-11-01;1527582618910760.0
2022-12-01;1658400113755503.0
2023-01-01;1645877443841633.5
2023-02-01;1661829940501381.5
2023-03-01;1684112489611245.5
