Date;price_change
2017-01-01;1.001195
2017-02-01;0.998242
2017-03-01;1.012428
2017-04-01;1.002612
2017-05-01;0.996023
2017-06-01;0.99885
2017-07-01;0.999681
2017-08-01;1.001317
2017-09-01;0.999744
2017-10-01;1.000085
2017-11-01;0.999637
2017-12-01;1.000714
2018-01-01;1.000475
2018-02-01;0.999442
2018-03-01;0.99914
2018-04-01;0.999
2018-05-01;0.998263
2018-06-01;0.954726
2018-07-01;0.955012
2018-08-01;1.007965
2018-09-01;0.975724
2018-10-01;1.010193
2018-11-01;1.018133
2018-12-01;0.947343
2019-01-01;0.991437
2019-02-01;1.006716
2019-03-01;1.018596
2019-04-01;1.011753
2019-05-01;1.000554
2019-06-01;0.975798
2019-07-01;0.993212
2019-08-01;0.974769
2019-09-01;0.993254
2019-10-01;1.001602
2019-11-01;1.000925
2019-12-01;1.001915
2020-01-01;0.997179
2020-02-01;1.000755
2020-03-01;0.997881
2020-04-01;1.00057
2020-05-01;0.990359
2020-06-01;0.98426
2020-07-01;0.995595
2020-08-01;0.989652
2020-09-01;1.001462
2020-10-01;1.006703
2020-11-01;1.018764
2020-12-01;0.998333
2021-01-01;1.004343
2021-02-01;0.990678
2021-03-01;0.993287
2021-04-01;0.996387
2021-05-01;0.998323
2021-06-01;1.004559
2021-07-01;0.999116
2021-08-01;0.998603
2021-09-01;1.002489
2021-10-01;0.999282
2021-11-01;0.996677
2021-12-01;1.0005
2022-01-01;1.002505
2022-02-01;0.968571
2022-03-01;1.001622
2022-04-01;1.00046
2022-05-01;1.003225
2022-06-01;1.004412
2022-07-01;1.000509
2022-08-01;1.003932
2022-09-01;0.999033
2022-10-01;1.001262
2022-11-01;1.001488
2022-12-01;1.002875
2023-01-01;1.006239
2023-02-01;0.997677
2023-03-01;1.000109
