Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,2,0.01,0.01,0.30782145830622043,-7.563344621223552
75% Corpus,2,0.01,0.31,0.3078214583062204,-7.488845670028449
75% Corpus,2,0.01,0.61,0.3078214583062203,-7.518334604909279
75% Corpus,2,0.01,0.9099999999999999,0.2923235118292953,-7.54988358908519
75% Corpus,2,0.01,symmetric,0.3078214583062204,-7.5068945544227725
75% Corpus,2,0.31,0.01,0.30782145830622043,-7.55927954437927
75% Corpus,2,0.31,0.31,0.3078214583062204,-7.488875781247855
75% Corpus,2,0.31,0.61,0.3078214583062203,-7.51836556586315
75% Corpus,2,0.31,0.9099999999999999,0.2923235118292953,-7.549920200093698
75% Corpus,2,0.31,symmetric,0.3078214583062204,-7.506924703812311
75% Corpus,2,0.61,0.01,0.30782145830622043,-7.5590236819111265
75% Corpus,2,0.61,0.31,0.3078214583062204,-7.488966254883266
75% Corpus,2,0.61,0.61,0.3078214583062203,-7.518459199938576
75% Corpus,2,0.61,0.9099999999999999,0.2923235118292953,-7.5500115208562475
75% Corpus,2,0.61,symmetric,0.3078214583062204,-7.507016520752281
75% Corpus,2,0.9099999999999999,0.01,0.30782145830622043,-7.558966499715869
75% Corpus,2,0.9099999999999999,0.31,0.3078214583062204,-7.489050324762368
75% Corpus,2,0.9099999999999999,0.61,0.3078214583062203,-7.518543822873137
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2923235118292953,-7.5500975397789665
75% Corpus,2,0.9099999999999999,symmetric,0.3078214583062204,-7.5071027755758415
75% Corpus,2,symmetric,0.01,0.30782145830622043,-7.559080832312312
75% Corpus,2,symmetric,0.31,0.3078214583062204,-7.488934817574661
75% Corpus,2,symmetric,0.61,0.3078214583062203,-7.5184255099938895
75% Corpus,2,symmetric,0.9099999999999999,0.2923235118292953,-7.549977516012653
75% Corpus,2,symmetric,symmetric,0.3078214583062204,-7.506983536255542
75% Corpus,2,asymmetric,0.01,0.30782145830622043,-7.559048393754784
75% Corpus,2,asymmetric,0.31,0.3078214583062204,-7.488971227426372
75% Corpus,2,asymmetric,0.61,0.3078214583062203,-7.518465040999976
75% Corpus,2,asymmetric,0.9099999999999999,0.2923235118292953,-7.550026472544866
75% Corpus,2,asymmetric,symmetric,0.3078214583062204,-7.507021882432488
75% Corpus,3,0.01,0.01,0.2912365513028751,-7.537017508345405
75% Corpus,3,0.01,0.31,0.29296345438472066,-7.452409783446527
75% Corpus,3,0.01,0.61,0.29296345438472066,-7.49323956075164
75% Corpus,3,0.01,0.9099999999999999,0.31694170160271745,-7.528365223283087
75% Corpus,3,0.01,symmetric,0.29296345438472066,-7.455371730976039
75% Corpus,3,0.31,0.01,0.2912365513028751,-7.531870277493851
75% Corpus,3,0.31,0.31,0.29296345438472066,-7.452523986188165
75% Corpus,3,0.31,0.61,0.29296345438472066,-7.493388389688522
75% Corpus,3,0.31,0.9099999999999999,0.31694170160271745,-7.528457871075538
75% Corpus,3,0.31,symmetric,0.29296345438472066,-7.455524090771042
75% Corpus,3,0.61,0.01,0.2912365513028751,-7.531366442915132
75% Corpus,3,0.61,0.31,0.29296345438472066,-7.452698308111619
75% Corpus,3,0.61,0.61,0.29296345438472066,-7.4936023643869385
75% Corpus,3,0.61,0.9099999999999999,0.31694170160271745,-7.528589311771831
75% Corpus,3,0.61,symmetric,0.29296345438472066,-7.455725726716163
75% Corpus,3,0.9099999999999999,0.01,0.2912365513028751,-7.531310036483879
75% Corpus,3,0.9099999999999999,0.31,0.29296345438472066,-7.452853280452702
75% Corpus,3,0.9099999999999999,0.61,0.29296345438472066,-7.493794420345302
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.31694170160271745,-7.528704268271008
