n_topics,alpha,beta,coherence_score,perplexity_score
12,0.1,0.1,0.413796219688536,-7.464458888600986
12,0.1,0.30000000000000004,0.43791194416902485,-7.5117879775883445
12,0.1,0.5000000000000001,0.4132710209678035,-7.563488990033336
12,0.1,0.7000000000000001,0.43414907734786184,-7.606394616699172
12,0.1,0.9000000000000001,0.43533525226687847,-7.646618489271291
12,0.1,auto,0.4150640476336598,-7.450582403891569
12,0.30000000000000004,0.1,0.41653210948561287,-7.464319182396736
12,0.30000000000000004,0.30000000000000004,0.4372718882815816,-7.513344207756885
12,0.30000000000000004,0.5000000000000001,0.4132174423696831,-7.564898826121441
12,0.30000000000000004,0.7000000000000001,0.4331844218070904,-7.607814038336209
12,0.30000000000000004,0.9000000000000001,0.43822260532088403,-7.647983498977509
12,0.30000000000000004,auto,0.4150640476336598,-7.449651785876183
12,0.5000000000000001,0.1,0.4152159771279999,-7.463459042908416
12,0.5000000000000001,0.30000000000000004,0.4372718882815816,-7.515053599923818
12,0.5000000000000001,0.5000000000000001,0.41740225235965345,-7.566570100989591
12,0.5000000000000001,0.7000000000000001,0.43451037899480743,-7.6092191209746
12,0.5000000000000001,0.9000000000000001,0.43670385014399965,-7.649322377931215
12,0.5000000000000001,auto,0.4150640476336598,-7.4491084724192005
12,0.7000000000000001,0.1,0.41498319812294904,-7.463166905774929
12,0.7000000000000001,0.30000000000000004,0.433806431630132,-7.516924204498705
12,0.7000000000000001,0.5000000000000001,0.4173315844490762,-7.56739609100491
12,0.7000000000000001,0.7000000000000001,0.43793661823424457,-7.610427149010151
12,0.7000000000000001,0.9000000000000001,0.436114796604043,-7.649895767186316
12,0.7000000000000001,auto,0.4145363152623982,-7.449055163773261
12,0.9000000000000001,0.1,0.41770841453266466,-7.463157006726823
12,0.9000000000000001,0.30000000000000004,0.433806431630132,-7.5191166649308085
12,0.9000000000000001,0.5000000000000001,0.4200536697887769,-7.568406266332123
12,0.9000000000000001,0.7000000000000001,0.4384796660638017,-7.611319807859891
12,0.9000000000000001,0.9000000000000001,0.43728647835672224,-7.649950980386429
12,0.9000000000000001,auto,0.415425863487245,-7.44917908913187
12,symmetric,0.1,0.413796219688536,-7.464495158661985
12,symmetric,0.30000000000000004,0.43791194416902485,-7.511691313763309
12,symmetric,0.5000000000000001,0.4132710209678035,-7.563408396345948
12,symmetric,0.7000000000000001,0.43414907734786184,-7.606302568712021
12,symmetric,0.9000000000000001,0.43533525226687847,-7.646527026060457
12,symmetric,auto,0.4150640476336598,-7.450680539294445
